created_at,entry_id,indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity,delta_temp,indoor_temp_smooth,indoor_humidity_smooth,THI,discomfort,too_cold,humidity_change,humidity_spike,temp_change,temp_spike
2025-12-10 15:31:00+00:00,10991,20.64,45.16,12.4,68.0,8.24,20.69633333333333,45.24166666666667,18.7880532,False,False,0.00999999999999801,False,0.0,False
2025-12-10 15:32:00+00:00,10992,20.65,45.12,12.4,68.0,8.249999999999998,20.692666666666664,45.24033333333333,18.793684,False,False,-0.03999999999999915,False,0.00999999999999801,False
2025-12-10 15:33:00+00:00,10993,20.65,45.08,12.4,68.0,8.249999999999998,20.688666666666663,45.23800000000001,18.792330999999997,False,False,-0.03999999999999915,False,0.0,False
2025-12-10 15:34:00+00:00,10994,20.61,45.05,12.4,68.0,8.209999999999999,20.684666666666665,45.232,18.763405249999998,False,False,-0.030000000000001137,False,-0.03999999999999915,False
2025-12-10 15:35:00+00:00,10995,20.62,45.06,12.4,68.0,8.22,20.680333333333333,45.22333333333333,18.7707196,False,False,0.010000000000005116,False,0.010000000000001563,False
2025-12-10 15:36:00+00:00,10996,20.63,45.11,12.4,68.0,8.229999999999999,20.677000000000003,45.217333333333336,18.77938365,False,False,0.04999999999999716,False,0.00999999999999801,False
2025-12-10 15:37:00+00:00,10997,20.64,45.17,12.4,68.0,8.24,20.674,45.21666666666667,18.7883909,False,False,0.060000000000002274,False,0.010000000000001563,False
2025-12-10 15:38:00+00:00,10998,20.61,45.18,12.4,68.0,8.209999999999999,20.67,45.21333333333333,18.767773899999998,False,False,0.00999999999999801,False,-0.030000000000001137,False
2025-12-10 15:39:01+00:00,10999,20.62,45.17,12.4,68.0,8.22,20.66633333333333,45.209,18.7744222,False,False,-0.00999999999999801,False,0.010000000000001563,False
2025-12-10 15:40:00+00:00,11000,20.61,45.14,12.4,68.0,8.209999999999999,20.662,45.202666666666666,18.7664297,False,False,-0.030000000000001137,False,-0.010000000000001563,False
2025-12-10 15:41:00+00:00,11001,20.61,45.16,12.4,68.0,8.209999999999999,20.65833333333333,45.198,18.7671018,False,False,0.01999999999999602,False,0.0,False
2025-12-10 15:42:00+00:00,11002,20.6,45.16,12.4,68.0,8.200000000000001,20.654333333333334,45.19333333333334,18.760118,False,False,0.0,False,-0.00999999999999801,False
2025-12-10 15:43:01+00:00,11003,20.6,45.19,12.4,68.0,8.200000000000001,20.65,45.19233333333333,18.7611245,False,False,0.030000000000001137,False,0.0,False
2025-12-10 15:44:01+00:00,11004,20.6,45.18,12.4,68.0,8.200000000000001,20.646,45.19466666666666,18.760789,False,False,-0.00999999999999801,False,0.0,False
2025-12-10 15:45:01+00:00,11005,20.59,45.18,12.4,68.0,8.19,20.642333333333333,45.19466666666666,18.7538041,False,False,0.0,False,-0.010000000000001563,False
2025-12-10 15:46:01+00:00,11006,20.58,45.12,12.1,69.0,8.479999999999999,20.638666666666666,45.192,18.7448128,False,False,-0.060000000000002274,False,-0.010000000000001563,False
2025-12-10 15:47:00+00:00,11007,20.59,45.06,12.1,69.0,8.49,20.634666666666664,45.18566666666667,18.7497847,False,False,-0.05999999999999517,False,0.010000000000001563,False
2025-12-10 15:48:00+00:00,11008,20.57,45.12,12.1,69.0,8.47,20.630333333333336,45.18033333333334,18.7378312,False,False,0.05999999999999517,False,-0.019999999999999574,False
2025-12-10 15:49:01+00:00,11009,20.58,45.14,12.1,69.0,8.479999999999999,20.627,45.17466666666667,18.745481599999998,False,False,0.020000000000003126,False,0.00999999999999801,False
2025-12-10 15:50:00+00:00,11010,20.58,45.11,12.1,69.0,8.479999999999999,20.624,45.16833333333333,18.7444784,False,False,-0.030000000000001137,False,0.0,False
2025-12-10 15:51:00+00:00,11011,20.59,45.1,12.1,69.0,8.49,20.621,45.161,18.7511245,False,False,-0.00999999999999801,False,0.010000000000001563,False
2025-12-10 15:52:00+00:00,11012,20.59,45.13,12.1,69.0,8.49,20.61833333333333,45.154,18.75212935,False,False,0.030000000000001137,False,0.0,False
2025-12-10 15:53:00+00:00,11013,20.58,45.12,12.1,69.0,8.479999999999999,20.615333333333336,45.14733333333333,18.7448128,False,False,-0.010000000000005116,False,-0.010000000000001563,False
2025-12-10 15:54:00+00:00,11014,20.57,45.18,12.1,69.0,8.47,20.612666666666662,45.14233333333333,18.7398343,False,False,0.060000000000002274,False,-0.00999999999999801,False
2025-12-10 15:55:00+00:00,11015,20.56,45.17,12.1,69.0,8.459999999999999,20.609666666666666,45.14066666666667,18.732516099999998,False,False,-0.00999999999999801,False,-0.010000000000001563,False
2025-12-10 15:56:00+00:00,11016,20.53,45.22,12.1,69.0,8.430000000000001,20.605,45.14066666666667,18.7132213,False,False,0.04999999999999716,False,-0.029999999999997584,False
2025-12-10 15:57:01+00:00,11017,20.55,45.18,12.1,69.0,8.450000000000001,20.601333333333336,45.142,18.7258645,False,False,-0.03999999999999915,False,0.019999999999999574,False
2025-12-10 15:58:01+00:00,11018,20.53,45.2,12.1,69.0,8.430000000000001,20.598666666666663,45.141666666666666,18.712558,False,False,0.020000000000003126,False,-0.019999999999999574,False
2025-12-10 15:59:01+00:00,11019,20.53,45.13,12.1,69.0,8.430000000000001,20.595,45.141333333333336,18.71023645,False,False,-0.07000000000000028,False,0.0,False
2025-12-10 16:00:01+00:00,11020,20.52,45.17,12.1,69.0,8.42,20.591,45.142,18.7045787,False,False,0.03999999999999915,False,-0.010000000000001563,False
2025-12-10 16:01:00+00:00,11021,20.52,45.2,12.1,70.0,8.42,20.587,45.14333333333333,18.705572,False,False,0.030000000000001137,False,0.0,False
2025-12-10 16:02:01+00:00,11022,20.5,45.31,12.1,70.0,8.4,20.582,45.14966666666666,18.69523,False,False,0.10999999999999943,False,-0.019999999999999574,False
2025-12-10 16:03:01+00:00,11023,20.5,45.3,12.1,70.0,8.4,20.577,45.157,18.6949,False,False,-0.010000000000005116,False,0.0,False
